,QA model,Dataset,embed_title,context_window_size,max_seq_len,doc_stride,max_seq_len_passage,max_seq_len_query,Retriever top-k,QA top-k,Rouge-1,Rouge-2,Rouge-l,Bleu,Answers percent in retrieved documents,VRAM,document embedding time,inference time
0,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,3,3,0.2510976582887212,0.1593676027792391,0.2438555947966577,0.07987744823162223,0.14705882352941174,0,584.7957592010497,2.9696533679962163
1,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,3,5,0.28549381376786553,0.18755933835115085,0.2753894644784362,0.05681966390039656,0.14705882352941174,0,584.7957592010497,2.666598320007324
2,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,3,7,0.2820642728838944,0.18341659036113103,0.27033654697108844,0.049169589399049925,0.14705882352941174,0,584.7957592010497,2.6992380619049072
3,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,5,3,0.28297193082483185,0.1823004575776766,0.26304109639975404,0.07672237413904816,0.14705882352941174,0,584.7957592010497,3.9133784770965576
4,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,5,5,0.3192766783543148,0.21588122873755955,0.30607607030186873,0.050894461042264263,0.14705882352941174,0,584.7957592010497,4.027033567428589
5,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,5,7,0.3016593148074969,0.1943471581654304,0.28302361517084845,0.0460042894712147,0.14705882352941174,0,584.7957592010497,4.109520196914674
6,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,7,3,0.2620035666427012,0.17489708111650945,0.2468217422910713,0.06932413886723772,0.14492753623188406,0,584.7957592010497,5.132390260696411
7,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,7,5,0.2655796497803363,0.16184795812443956,0.25391563945518203,0.04370274694426013,0.14705882352941174,0,584.7957592010497,5.587777614593506
8,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,100,256,64,7,7,0.2742098253292337,0.16640888563703934,0.2605886187859269,0.03543192200245535,0.14705882352941174,0,584.7957592010497,5.485204219818115
9,drive/MyDrive/bert_basefi_qafi,drive/MyDrive/titleText-threeSentences.csv,True,150,256,128,256,64,3,3,0.2510976582887212,0.1593676027792391,0.2438555947966577,0.07987744823162223,0.14705882352941174,0,584.7957592010497,2.5988168716430664
